#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
441	Agustín Ramírez	MIA	8.7%	.195	.272	49	92	23.9%	.256	.245	.528
442	Wenceel Pérez	DET	9.9%	.156	.240	46	121	17.4%	.284	.239	.524
443	Anthony Seigler	BOS	8.3%	.182	.250	42	12	41.7%	.273	.238	.523
444	Cody Freeman	TEX	10.0%	.222	.300	54	10	20.0%	.222	.249	.522
445	Shay Whitcomb	HOU	6.3%	.133	.188	39	16	37.5%	.333	.228	.521
446	Zach Dezenzo	HOU	7.5%	.189	.250	45	40	40.0%	.270	.237	.520
447	Brenton Doyle	COL	6.4%	.205	.256	31	78	35.9%	.260	.236	.517
448	Jared Triolo	PIT	9.1%	.198	.287	50	110	29.1%	.229	.246	.516
449	Edgar Quero	CHW	5.7%	.223	.282	47	105	25.7%	.234	.241	.516
450	Edmundo Sosa	PHI	0.0%	.204	.218	37	55	21.8%	.296	.226	.514
451	Tim Tawa	ARI	10.6%	.175	.261	45	47	25.5%	.250	.237	.511
452	Carlos Narváez	BOS	7.7%	.173	.250	40	117	35.0%	.260	.235	.510
453	Adolis García	PHI	6.8%	.174	.246	41	191	35.6%	.262	.233	.508
454	Jacob Gonzalez	CHW	7.3%	.184	.244	41	41	29.3%	.263	.232	.507
455	Mitch Garver	SEA	15.6%	.130	.266	56	64	37.5%	.241	.243	.506
456	Tommy Troy	ARI	12.7%	.164	.270	47	63	20.6%	.236	.241	.506
457	Miguel Rojas	LAD	5.5%	.217	.264	40	55	7.3%	.239	.229	.503
458	Andy Ibáñez	ATH	50.0%	.000	.500	119	2	0.0%	.000	.350	.500
459	Andrés Chaparro	WSN	0.0%	.250	.250	36	4	25.0%	.250	.223	.500
460	Leo Rivas	SEA	12.2%	.162	.293	57	82	34.1%	.206	.245	.499
461	Jake Cronenworth	SDP	15.1%	.143	.290	56	93	21.5%	.208	.247	.498
462	Patrick Bailey	2 Tms	6.2%	.190	.240	39	129	24.0%	.256	.226	.497
463	Randal Grichuk	2 Tms	0.0%	.175	.171	25	41	22.0%	.325	.208	.496
464	Tyler Tolbert	KCR	9.1%	.222	.273	35	11	36.4%	.222	.226	.495
465	Graham Pauley	MIA	6.0%	.165	.214	33	84	25.0%	.278	.220	.493
466	James McCann	ARI	3.0%	.200	.226	32	33	36.4%	.267	.219	.492
467	Tyler Heineman	2 Tms	4.8%	.154	.241	39	62	21.0%	.250	.230	.491
468	Max Schuemann	NYY	20.0%	.125	.300	54	20	35.0%	.188	.248	.488
469	James Outman	2 Tms	7.5%	.145	.209	31	67	44.8%	.274	.217	.483
