#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
469	Joey Bart	PIT	3.8%	.120	.154	-19	26	42.3%	.160	.145	.314
470	Patrick Wisdom	SEA	10.0%	.111	.200	-20	20	50.0%	.111	.131	.311
471	Braden Shewmake	HOU	9.1%	.111	.200	-7	11	18.2%	.111	.160	.311
472	Billy Cook	PIT	0.0%	.154	.154	-24	13	46.2%	.154	.138	.308
473	Leo Rivas	SEA	13.2%	.065	.194	-2	38	21.1%	.097	.157	.291
474	Henry Davis	PIT	0.0%	.097	.094	-36	32	25.0%	.194	.120	.287
475	Rodolfo Durán	SDP	21.4%	.000	.286	26	14	35.7%	.000	.203	.286
476	Endy Rodríguez	PIT	28.6%	.000	.286	19	7	28.6%	.000	.200	.286
477	Donovan Walton	LAA	0.0%	.143	.143	-30	8	12.5%	.143	.128	.286
478	Greg Jones	MIL	0.0%	.143	.143	-28	7	42.9%	.143	.128	.286
479	Colt Keith	DET	0.0%	.100	.182	-15	11	9.1%	.100	.148	.282
480	Otto Kemp	PHI	4.5%	.100	.182	-17	22	36.4%	.100	.146	.282
481	Yoán Moncada	LAA	15.4%	.048	.231	-1	26	46.2%	.048	.170	.278
482	Edouard Julien	COL	13.3%	.077	.200	-25	15	40.0%	.077	.153	.277
483	Austin Wynns	2 Tms	3.7%	.120	.154	-28	27	14.8%	.120	.130	.274
484	Johnathan Rodríguez	BAL	27.3%	.000	.273	16	11	36.4%	.000	.191	.273
485	Luke Raley	SEA	0.0%	.133	.133	-28	16	25.0%	.133	.119	.267
486	Josh Smith	TEX	0.0%	.133	.133	-33	15	53.3%	.133	.119	.267
487	Dylan Moore	PHI	25.0%	.000	.250	2	12	33.3%	.000	.175	.250
488	Addison Barger	TOR	25.0%	.000	.250	4	4	25.0%	.000	.175	.250
489	Mickey Gasper	BOS	0.0%	.125	.125	-44	17	41.2%	.125	.112	.250
