#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	Stuff+
43	Logan Gilbert	SEA	9.55	2.08	20.8%	3.66	3.44	86.2	0.87	107
44	George Kirby	SEA	7.90	2.10	15.5%	3.58	3.75	90.0	0.87	101
45	Emerson Hancock	SEA	8.47	1.92	18.5%	3.65	3.59	79.2	0.87	101
46	Bryce Miller	SEA	9.60	1.50	25.2%	3.10	2.96	30.0	0.88	110
47	Bryan Woo	SEA	8.90	1.62	20.3%	3.68	3.49	89.0	0.88	109
48	Germán Márquez	SDP	5.76	3.64	5.5%	5.44	5.36	29.2	0.87	86
49	Nick Pivetta	SDP	13.50	3.38	27.3%	3.17	2.82	16.0	0.87	102
50	Lucas Giolito	SDP	6.10	7.84	-4.2%	6.59	6.80	20.2	0.89	88
51	Walker Buehler	SDP	7.75	2.94	12.5%	3.77	4.05	67.1	0.87	96
52	Michael King	SDP	7.73	3.71	10.9%	4.35	4.43	85.0	0.87	96
53	Griffin Canning	SDP	9.32	5.26	10.4%	4.32	4.55	37.2	0.88	90
54	Randy Vásquez	SDP	7.02	2.66	11.5%	4.69	4.54	74.1	0.86	98
55	Matt Waldron	SDP	5.27	3.29	4.3%	5.86	5.29	13.2	0.87	93
56	Mitch Keller	PIT	7.11	3.39	9.6%	4.33	4.57	82.1	0.88	93
57	Braxton Ashcraft	PIT	9.63	2.18	20.3%	3.29	3.32	90.2	0.88	105
58	Carmen Mlodzinski	PIT	7.98	3.07	12.3%	4.00	4.24	44.0	0.88	92
59	Jared Jones	PIT	9.35	3.12	15.4%	3.95	3.93	17.1	0.88	101
60	Bubba Chandler	PIT	8.76	5.60	7.8%	5.01	4.97	62.2	0.88	105
61	Paul Skenes	PIT	10.87	1.76	25.5%	2.86	2.83	82.0	0.87	99
62	Zack Wheeler	PHI	8.90	2.15	19.9%	3.26	3.37	62.2	0.89	106
63	Taijuan Walker	PHI	7.71	4.82	6.4%	4.98	4.96	18.2	0.87	88
64	Aaron Nola	PHI	9.16	2.97	15.6%	3.80	3.90	75.2	0.84	106
65	Jesús Luzardo	PHI	10.19	2.84	19.2%	3.17	3.39	85.2	0.85	109
66	Cristopher Sánchez	PHI	10.55	1.73	24.3%	2.41	2.66	99.0	0.87	118
67	Andrew Painter	PHI	7.04	3.27	9.0%	5.06	4.80	55.0	0.87	101
68	Gerrit Cole	NYY	7.71	2.57	14.3%	4.42	4.24	28.0	0.87	100
69	Max Fried	NYY	7.30	2.77	12.9%	3.87	4.10	61.2	0.87	106
70	Carlos Rodón	NYY	10.25	5.00	13.9%	3.97	4.19	36.0	0.86	108
71	Luis Gil	NYY	4.19	5.12	-2.4%	6.34	6.21	19.1	0.88	96
72	Ryan Weathers	NYY	9.93	2.45	20.5%	3.33	3.36	80.2	0.87	100
73	Will Warren	NYY	9.41	2.97	16.7%	3.71	3.76	72.2	0.87	106
74	Elmer Rodríguez	NYY	4.15	6.23	-4.7%	6.77	6.43	13.0	0.87	89
75	Cam Schlittler	NYY	9.71	1.82	22.5%	3.02	3.12	89.0	0.87	110
76	Huascar Brazobán	NYM	5.14	9.00	-9.4%	6.66	7.19	7.0	0.88	87
77	Clay Holmes	NYM	7.69	3.08	12.6%	3.65	3.92	52.2	0.88	101
78	Sean Manaea	NYM	8.74	0.79	22.2%	3.26	3.14	11.1	0.89	107
79	Freddy Peralta	NYM	8.78	3.58	13.4%	3.93	4.11	83.0	0.88	95
80	David Peterson	NYM	8.91	5.13	8.5%	3.90	4.35	33.1	0.88	88
81	Christian Scott	NYM	10.40	4.20	15.7%	4.13	4.00	40.2	0.87	107
82	Kodai Senga	NYM	10.50	6.38	9.6%	5.12	4.89	24.0	0.87	96
