#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched
211	Matthew Boyd	CHC	8.18	2.12	16.7%	4.04	3.92	203.2
212	Matthew Liberatore	STL	7.56	2.72	12.5%	4.24	4.36	218.0
213	Max Fried	NYY	8.37	2.45	16.2%	3.51	3.70	257.0
214	Max Meyer	MIA	9.65	3.07	17.2%	3.61	3.70	143.2
215	Max Scherzer	TOR	7.99	2.69	13.8%	4.86	4.57	103.2
216	McCade Brown	COL	8.06	5.96	4.8%	6.14	5.47	25.2
217	Merrill Kelly	2 Tms	7.58	2.71	13.0%	4.16	4.28	242.1
218	Michael King	SDP	8.86	3.36	14.9%	4.12	4.03	147.1
219	Michael Lorenzen	2 Tms	7.82	2.74	12.6%	4.31	4.32	200.1
220	Michael McGreevy	STL	5.66	2.00	9.9%	4.18	4.50	162.1
221	Michael Soroka	3 Tms	9.27	2.40	18.3%	3.85	3.65	157.1
222	Michael Wacha	KCR	6.85	2.52	11.7%	4.46	4.50	253.2
223	Mick Abel	2 Tms	9.00	3.18	15.1%	4.29	4.10	51.0
224	Mike Burrows	2 Tms	8.55	3.21	13.8%	4.17	4.16	160.0
225	Mike Vasil	CHW	9.00	4.91	9.6%	4.72	4.68	11.0
226	Miles Mikolas	2 Tms	5.91	2.33	9.1%	4.76	4.80	181.1
227	Mitch Farris	LAA	8.88	4.07	12.1%	4.80	4.71	24.1
228	Mitch Keller	PIT	7.40	2.67	12.4%	4.18	4.30	249.1
229	Mitch Spence	ATH	6.23	2.31	9.8%	4.49	4.70	39.0
230	Mitchell Parker	WSN	5.74	3.24	6.3%	5.09	5.21	158.1
231	Nabil Crismatt	ARI	5.88	1.38	11.9%	4.18	4.47	26.0
232	Nathan Eovaldi	TEX	8.81	1.75	19.8%	3.23	3.33	210.1
233	Nestor Cortes	2 Tms	7.60	5.24	5.7%	5.75	5.42	34.1
234	Nick Lodolo	CIN	8.65	2.05	17.7%	3.85	3.75	188.1
235	Nick Martinez	2 Tms	6.10	1.98	11.1%	4.47	4.57	222.2
236	Nick Pivetta	SDP	9.74	2.55	20.1%	3.79	3.61	197.2
237	Noah Cameron	KCR	7.81	2.65	14.1%	3.95	4.14	204.0
238	Noah Schultz	CHW	7.68	5.12	6.5%	5.32	5.10	38.2
239	Nolan McLean	NYM	10.40	3.22	19.7%	3.22	3.35	120.1
240	Osvaldo Bido	ATH	6.60	3.88	6.6%	5.72	5.40	46.1
241	Pablo López	MIN	8.68	2.38	17.0%	3.87	3.87	75.2
242	Parker Messick	CLE	9.10	2.20	19.1%	3.29	3.48	114.2
243	Patrick Corbin	2 Tms	7.27	3.02	11.0%	4.31	4.51	211.2
244	Paul Blackburn	2 Tms	7.04	4.70	5.4%	5.63	5.25	15.1
245	Paul Skenes	PIT	10.41	1.95	23.9%	3.01	3.04	263.2
246	Paxton Schultz	2 Tms	9.53	1.59	20.0%	4.24	3.75	5.2
247	Payton Tolle	BOS	9.33	2.83	17.6%	3.98	3.79	63.2
248	Peter Lambert	HOU	8.35	4.44	10.3%	4.50	4.52	50.2
249	Pierson Ohl	MIN	9.00	3.38	11.4%	4.77	4.63	8.0
250	PJ Poulin	WSN	5.79	2.89	8.3%	4.65	4.67	9.1
251	Quinn Priester	MIL	8.06	2.76	14.2%	3.73	3.91	130.2
252	Randy Vásquez	SDP	5.72	3.22	6.5%	5.28	5.17	198.1
253	Ranger Suarez	2 Tms	8.66	2.31	17.2%	3.60	3.74	222.1
254	Reese Olson	DET	8.52	3.28	14.0%	4.03	4.15	68.2
255	Reid Detmers	LAA	10.70	2.92	20.7%	3.56	3.36	74.0
256	Reynaldo López	ATL	7.09	4.39	6.7%	5.03	5.03	26.2
257	Rhett Lowder	CIN	6.75	5.01	4.4%	4.99	5.23	41.1
258	Rich Hill	KCR	4.00	8.00	-9.3%	6.80	7.32	9.0
259	Richard Fitts	BOS	7.46	2.85	11.9%	4.27	4.40	41.0
260	Richard Lovelady	WSN	8.59	4.91	9.7%	4.21	4.62	7.1
261	Robbie Ray	SFG	8.96	3.92	13.4%	4.43	4.34	250.0
262	Robby Snelling	MIA	3.60	7.20	-9.1%	6.15	7.20	5.0
263	Robert Gasser	MIL	9.00	4.88	9.5%	5.80	4.96	24.0
264	Roki Sasaki	LAD	8.19	4.19	10.2%	4.61	4.57	92.1
265	Ronel Blanco	HOU	8.94	3.72	14.1%	4.40	4.32	48.1
266	Ryan Bergert	2 Tms	8.83	4.35	11.7%	4.63	4.64	72.1
267	Ryan Feltner	COL	6.93	3.18	9.8%	4.43	4.57	62.1
268	Ryan Gusto	2 Tms	8.50	3.12	13.3%	4.47	4.30	83.2
269	Ryan Pepiot	TBR	8.96	3.27	15.6%	4.07	4.05	167.2
270	Ryan Weathers	2 Tms	9.64	2.66	18.6%	3.50	3.57	108.1
271	Ryan Weiss	HOU	9.00	10.29	-2.9%	6.18	6.62	7.0
272	Ryan Yarbrough	NYY	7.43	2.48	13.7%	4.39	4.30	40.0
273	Ryne Nelson	ARI	7.19	2.52	12.8%	4.46	4.40	200.1
274	Sam Aldegheri	LAA	5.40	4.73	1.5%	6.43	5.82	13.1
275	Sandy Alcantara	MIA	7.02	2.69	11.3%	4.20	4.36	264.0
276	Sawyer Gipson-Long	DET	7.62	3.46	10.5%	4.49	4.69	13.0
277	Scott Blewett	2 Tms	3.18	3.18	0.0%	5.12	5.20	5.2
278	Sean Burke	CHW	8.31	4.10	10.6%	4.78	4.64	156.0
279	Sean Manaea	NYM	11.05	2.10	22.8%	3.50	3.25	51.1
280	Sean Newcomb	BOS	10.88	4.43	15.2%	3.71	4.03	22.1
281	Seth Lugo	KCR	7.69	3.21	11.8%	4.41	4.44	221.1
282	Shane Baz	2 Tms	8.95	3.48	14.2%	4.03	4.11	243.1
283	Shane Bieber	TOR	8.26	1.56	18.9%	3.35	3.52	40.1
284	Shane Drohan	MIL	7.62	4.85	7.1%	4.58	4.85	13.0
285	Shane McClanahan	TBR	8.85	3.15	15.4%	3.78	3.87	60.0
286	Shane Smith	CHW	9.08	3.90	13.4%	4.32	4.28	154.2
287	Shinnosuke Ogasawara	WSN	5.40	1.35	9.4%	4.67	4.29	6.2
288	Shohei Ohtani	LAD	10.75	2.25	24.2%	2.86	2.94	108.0
289	Shota Imanaga	CHC	7.79	1.84	16.7%	4.27	4.08	220.2
290	Simeon Woods Richardson	MIN	7.60	4.04	9.0%	5.04	4.88	151.2
291	Slade Cecconi	CLE	7.48	2.42	13.4%	4.10	4.20	204.2
292	Sonny Gray	2 Tms	9.30	2.05	19.4%	3.26	3.47	237.0
293	Spencer Arrighetti	HOU	8.19	4.97	8.3%	4.95	4.86	92.1
294	Spencer Miles	TOR	6.00	4.50	3.6%	4.47	4.67	6.0
295	Spencer Schwellenbach	ATL	8.78	1.46	20.7%	3.01	3.30	110.2
296	Spencer Strider	ATL	9.71	3.90	15.1%	4.22	4.11	161.1
297	Stephen Kolek	2 Tms	6.19	2.31	10.6%	4.06	4.31	155.2
298	Steven Matz	2 Tms	7.85	2.78	13.5%	4.06	4.18	55.0
299	Taijuan Walker	PHI	5.96	3.09	7.1%	4.83	4.93	122.1
300	Taj Bradley	2 Tms	8.67	3.68	12.9%	4.28	4.29	207.2
301	Tanner Bibee	CLE	7.81	2.71	13.6%	4.17	4.19	259.1
302	Tanner Gordon	COL	7.24	2.05	12.8%	4.48	4.44	83.1
