#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
289	Elias Díaz	2 Tms	3.7%	.231	.259	82	27	29.6%	.423	.295	.682
290	Luis Campusano	SDP	6.3%	.233	.281	95	32	31.3%	.400	.298	.681
291	Tim Tawa	ARI	11.1%	.219	.306	90	36	16.7%	.375	.304	.681
292	Jackson Holliday	BAL	10.2%	.216	.288	88	59	25.4%	.392	.297	.680
293	Cole Young	SEA	8.8%	.246	.321	105	160	18.8%	.359	.306	.680
294	Ty France	SDP	5.6%	.229	.281	91	89	28.1%	.398	.293	.678
295	Andrés Giménez	TOR	2.2%	.256	.293	88	134	19.4%	.384	.298	.677
296	Jarren Duran	BOS	3.5%	.230	.262	75	141	27.7%	.415	.294	.677
297	Masyn Winn	STL	10.6%	.256	.355	102	141	20.6%	.322	.313	.677
298	Coby Mayo	BAL	7.0%	.209	.270	87	100	33.0%	.407	.295	.677
299	Miguel Amaya	CHC	13.4%	.218	.348	102	67	23.9%	.327	.314	.676
300	Taylor Ward	BAL	18.2%	.250	.396	105	187	17.1%	.277	.322	.673
301	Trea Turner	PHI	5.6%	.261	.309	85	178	20.2%	.364	.300	.673
302	Amed Rosario	NYY	9.1%	.217	.288	89	66	21.2%	.383	.298	.671
303	Dalton Rushing	LAD	7.5%	.226	.284	87	67	29.9%	.387	.295	.671
304	David Fry	CLE	19.2%	.238	.385	99	52	30.8%	.286	.313	.670
305	Justin Foscue	TEX	8.8%	.133	.235	84	34	20.6%	.433	.291	.669
306	Nico Hoerner	CHC	10.7%	.239	.320	92	178	7.3%	.348	.300	.669
307	Eric Haase	SFG	0.0%	.222	.222	82	19	15.8%	.444	.283	.667
308	Joey Meneses	ATH	0.0%	.333	.333	81	3	0.0%	.333	.297	.667
309	Ali Sánchez	NYY	0.0%	.333	.333	88	9	22.2%	.333	.297	.667
310	Jared Oliva	SFG	0.0%	.333	.333	92	3	0.0%	.333	.297	.667
311	Will Benson	CIN	12.7%	.174	.296	78	55	36.4%	.370	.299	.666
312	Daulton Varsho	TOR	11.1%	.223	.316	88	117	19.7%	.350	.298	.666
313	Drew Millas	WSN	8.6%	.200	.286	86	58	22.4%	.380	.296	.666
