#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
48	Cristian Javier	HOU	3.86	8.68	-10.4%	8.18	7.68	9.1	0.87	21.9%	31.3%	46.9%
49	Cristopher Sánchez	PHI	10.55	1.73	24.3%	2.42	2.67	99.0	0.87	16.0%	57.4%	26.6%
50	David Peterson	NYM	8.91	5.13	8.5%	3.91	4.37	33.1	0.88	24.1%	55.6%	20.4%
51	David Sandlin	CHW	7.20	3.60	9.5%	4.79	4.75	10.0	0.87	16.7%	36.7%	46.7%
52	Davis Martin	CHW	9.15	2.20	18.9%	3.30	3.50	81.2	0.88	24.6%	42.4%	33.0%
53	Dean Kremer	BAL	13.09	1.64	32.6%	2.37	2.22	11.0	0.87	16.0%	36.0%	48.0%
54	Drew Anderson	DET	14.73	4.91	26.7%	2.69	2.95	7.1	0.90	7.1%	50.0%	42.9%
55	Drew Rasmussen	TBR	9.45	1.46	23.1%	2.81	2.98	80.0	0.86	18.0%	49.3%	32.7%
56	Dustin May	STL	8.27	2.31	16.4%	3.72	3.76	81.2	0.87	17.3%	46.2%	36.4%
57	Dylan Cease	TOR	13.56	3.82	26.1%	2.53	2.86	73.0	0.87	22.2%	45.6%	32.3%
58	Eduardo Rodriguez	ARI	6.62	3.57	8.3%	4.42	4.79	88.1	0.87	23.1%	40.4%	36.5%
59	Edward Cabrera	CHC	8.15	3.34	12.5%	3.93	4.23	67.1	0.87	23.0%	42.9%	34.2%
60	Elmer Rodríguez	NYY	4.15	6.23	-4.7%	6.79	6.44	13.0	0.87	15.6%	48.9%	35.6%
61	Emerson Hancock	SEA	8.47	1.92	18.5%	3.66	3.60	79.2	0.87	18.0%	41.5%	40.6%
62	Emmet Sheehan	LAD	10.07	2.38	20.4%	3.63	3.43	64.1	0.88	19.4%	36.6%	44.0%
